core_family,baseline_hits,baseline_rate,trait,value,trait_hits,trait_total,trait_rate,lift,lift_diff,baseline_rate_per_100k
14,265,0.007539976099698401,seed_repeat_digit,6,9,1714,0.005250875145857643,0.6964047467030668,-0.0022891009538407578,753.9976099698401
14,265,0.007539976099698401,seed_repeat_digit,4,10,1749,0.005717552887364208,0.7582985425634055,-0.0018224232123341929,753.9976099698401
14,265,0.007539976099698401,seed_repeat_digit,9,10,1682,0.005945303210463734,0.7885042514526732,-0.001594672889234667,753.9976099698401
14,265,0.007539976099698401,seed_sum_lastdigit,1,21,3502,0.005996573386636208,0.7953040311196836,-0.0015434027130621928,753.9976099698401
14,265,0.007539976099698401,seed_prime_count,0,28,4610,0.006073752711496746,0.8055400482953382,-0.0014662233882016549,753.9976099698401
14,265,0.007539976099698401,seed_trail_band,4-6,66,10571,0.006243496357960458,0.8280525396108613,-0.0012964797417379433,753.9976099698401
14,265,0.007539976099698401,seed_structure,AABB,6,946,0.006342494714587738,0.8411823367505684,-0.0011974813851106632,753.9976099698401
14,265,0.007539976099698401,seed_prime_count,4,6,933,0.006430868167202572,0.8529029909603835,-0.0011091079324958286,753.9976099698401
14,265,0.007539976099698401,seed_high_count,4,14,2153,0.006502554575011612,0.8624105022390872,-0.001037421524686789,753.9976099698401
14,265,0.007539976099698401,seed_spread_band,0-3,30,4586,0.0065416484954208464,0.8675953887549475,-0.0009983276042775545,753.9976099698401
14,265,0.007539976099698401,seed_sum_lastdigit,8,23,3478,0.006612995974698103,0.8770579491575076,-0.0009269801250002983,753.9976099698401
14,265,0.007539976099698401,seed_unique_count,2,15,2212,0.006781193490054249,0.8993653826469685,-0.0007587826096441515,753.9976099698401
14,265,0.007539976099698401,seed_sum_lastdigit,6,24,3489,0.006878761822871883,0.9123055208553027,-0.0006612142768265177,753.9976099698401
14,265,0.007539976099698401,seed_sum_lastdigit,9,24,3480,0.006896551724137931,0.9146649316851009,-0.00064342437556047,753.9976099698401
14,265,0.007539976099698401,seed_consecutive_pairs,0,82,11865,0.006911083017277707,0.9165921650009143,-0.0006288930824206937,753.9976099698401
14,265,0.007539976099698401,seed_lead_band,4-6,73,10552,0.0069181197877179685,0.917525426638248,-0.0006218563119804324,753.9976099698401
14,265,0.007539976099698401,seed_sum_lastdigit,4,25,3579,0.006985191394244202,0.9264208933664405,-0.0005547847054541985,753.9976099698401
14,265,0.007539976099698401,seed_even_count,2,93,13273,0.0070067053416710615,0.929274211088193,-0.0005332707580273394,753.9976099698401
14,265,0.007539976099698401,seed_sum_mod2,0,124,17636,0.007031072805624858,0.9325059804773255,-0.0005089032940735431,753.9976099698401
14,265,0.007539976099698401,seed_vtrac_unique,2,56,7942,0.007051120624527827,0.9351648508288869,-0.0004888554751705737,753.9976099698401
14,265,0.007539976099698401,seed_structure,AAAB,9,1266,0.0071090047393364926,0.9428418134668693,-0.00043097136036190833,753.9976099698401
14,265,0.007539976099698401,seed_high_count,2,95,13330,0.007126781695423856,0.9451995074240258,-0.0004131944042745448,753.9976099698401
14,265,0.007539976099698401,seed_spread_band,4-6,110,15348,0.007167057597081053,0.950541155875512,-0.0003729185026173478,753.9976099698401
14,265,0.007539976099698401,seed_sum_mod3,0,82,11432,0.007172848145556333,0.9513091355612184,-0.0003671279541420675,753.9976099698401
